price,mileage,power,prod_year,seats_num,fuel,color,link
69500,178000,340,2011,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl450-4-matic-7-osobowy-przebieg-178-tys-km-ID6Fz77n.html
135000,182000,258,2014,7,Diesel,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-super-stan-ID6FksI8.html
98000,279034,435,2014,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-2014-gl450-4-matic-v8-7-osob-ID6FxW3h.html
170000,239500,258,2013,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-350-bluetec-4matic-faktura-vat-bogata-wersja-wyposazenia-ID6FxzI2.html
78000,182686,225,2008,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-320-cdi-2008r-x164-4x4-ID6FpoP3.html
59000,371000,340,2007,7,Benzyna+LPG,Bordowy,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-v8-airmatic-szyberdach-bi-ksenon-7-osobowy-gaz-ID6FxAZd.html
45000,297000,340,2008,7,Benzyna+LPG,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl450-w164-2008-7-osobowy-benzyna-lpg-ID6FpHId.html
64900,261000,306,2010,5,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-full-opcja-4-0-diesel-306-km-ID6FvoLp.html
85000,270000,265,2011,5,Diesel,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-sprzedam-mercedes-gl-x164-ID6Fz4Dk.html
99999,177100,435,2014,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-ID6Fo432.html
135000,168000,258,2013,7,Diesel,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-pakiet-amg-krajowy-bezwypadkowy-ID6FoAMA.html
115000,105000,388,2008,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl550-w164-2008rok-import-japonia-105000-km-fv-ID6FjyJb.html
41500,440000,306,2007,5,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-420-cdi-4xmatic-ID6Fxv0x.html
171000,181000,435,2013,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-x166-bezwypadkowy-550-amg-distronic-kamery-360-ID6Fw19o.html
189000,173000,258,2014,7,Diesel,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-350-ID6F6ZGB.html
259530,160000,558,2014,7,Benzyna,Szary,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-63-amg-f-vat-ID6FtnPO.html
139000,180000,435,2015,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-550-v8-bi-turbo-pakiet-amg-ID6FycWe.html
